1	100000	100000	100000	100000	100000	0	
2	96600	96600	96600	96600	113600	0	
3	93200	93200	96500	93200	123900	0	
4	89800	89800	93100	89800	137500	0	
5	86400	100000	93100	86400	134100	0	
6	83000	96600	106700	83000	130700	0	
7	79600	93200	103300	79600	144300	0	
8	93200	89800	99900	76200	140900	0	
9	89800	103400	96500	72800	137500	0	
10	86400	100000	93100	86400	134100	0	
11	83000	96600	106700	83000	130700	0	
12	79600	93200	103300	96600	127300	0	
13	93200	89800	99900	93200	123900	0	
14	89800	86400	113500	89800	120500	0	
15	86400	83000	113500	100000	117100	0	
16	83000	96600	110100	96600	113700	0	
17	79600	107000	109900	93200	110300	0	
18	76200	103600	123500	89800	106900	0	
19	81300	100200	120100	94900	103500	0	
20	77900	96800	120100	91500	113700	0	
21	74500	93400	133700	88100	110300	0	
22	71100	90000	147300	84700	106900	0	
23	67700	103600	143900	81300	103500	0	
24	64300	100200	157500	77900	100100	0	
25	69400	96800	162600	74500	96700	0	
26	79600	93400	162600	71100	93300	0	
27	76200	107000	159200	67700	89900	0	
28	72800	103600	159100	64300	100200	0	
29	69400	100200	159100	60900	110400	0	
30	66000	96800	155700	57500	124000	0	
31	62600	93400	169300	54100	120600	0	
32	73000	90000	169100	50700	117200	0	
33	69600	103600	165700	47300	113800	0	
34	66200	100200	162300	43900	127400	0	
35	62800	96800	158900	57500	124000	0	
36	59400	93400	158900	67700	120600	0	
37	56000	107000	155500	64300	117200	0	
38	69600	103600	152100	60900	113800	0	
39	66200	100200	148700	74500	110400	0	
40	62800	96800	162300	71100	107000	0	
41	59400	93400	162300	81300	103600	0	
42	73000	90000	158900	77900	100200	0	
43	69600	86600	158800	88200	96800	0	
44	66200	83200	172400	84800	93400	0	
45	62800	79800	172400	95000	90000	0	
46	73000	76400	172400	91600	86600	0	
47	69600	73000	172200	88200	97000	0	
48	83200	69600	168800	84800	93600	0	
49	96800	66200	165400	81400	90200	0	
50	93400	62800	165400	91600	86800	0	
51	107000	59400	162000	88200	83400	0	
52	103600	69800	161800	84800	80000	0	
53	100200	66400	158400	81400	93600	0	
54	96800	63000	155000	95000	90200	0	
55	93400	59600	168600	91600	86800	0	
56	90000	56200	165200	105200	83400	0	
57	86600	52800	161800	118800	80000	0	
58	83200	49400	158400	132400	76600	0	
59	79800	46000	155000	129000	90200	0	
60	76400	42600	151600	142600	86800	0	
61	73000	39200	151600	139200	97000	0	
62	69600	35800	148200	152800	93600	0	
63	66200	32400	144800	149400	107200	0	
64	62800	46000	141400	146000	103800	0	
65	76400	42600	138000	142600	100400	0	
66	73000	52800	138000	139200	97000	0	
67	69600	49400	137800	149600	93600	0	
68	66200	46000	151400	146200	90200	0	
69	62800	42600	151400	156400	86800	0	
70	59400	39200	148000	153000	100400	0	
71	56000	49400	148000	149600	97000	0	
72	52600	46000	144600	146200	110600	0	
73	49200	59600	141200	142800	107200	0	
74	45800	56200	137800	156400	103800	0	
75	42400	52800	151400	153000	100400	0	
76	39000	49400	148000	149600	114000	0	
77	35600	46000	144600	146200	127600	0	
78	32200	51100	141200	151300	124200	0	
79	28800	47700	137800	147900	137800	0	
80	25400	44300	134400	144500	151400	0	
81	39000	40900	131000	141100	148000	0	
82	49400	37500	130800	137700	144600	0	
83	46000	47800	130700	134300	141200	0	
84	59600	44400	127300	130900	137800	0	
85	69800	41000	127300	127500	134400	0	
86	83400	37600	123900	124100	131000	0	
87	80000	34200	137500	120700	127600	0	
88	76600	30800	134100	134300	124200	0	
89	73200	27400	130700	147900	120800	0	
90	69800	24000	127300	161500	117400	0	
91	80000	20600	127300	158100	114000	0	
92	85100	17200	123900	163200	110600	0	
93	95400	13800	123800	159800	107200	0	
94	92000	10400	120400	156400	120800	0	
